zip_code,latitude,longitude,city,state,county,active
00773,18.3388,-65.7201,Luquillo,PR,Luquillo Municipio,True
00775,18.3137,-65.2942,Culebra,PR,Culebra Municipio,True
00777,18.2065,-65.9017,Juncos,PR,Juncos Municipio,True
00778,18.2589,-65.9746,Gurabo,PR,Gurabo Municipio,True
00780,18.0711,-66.5629,Coto Laurel,PR,Ponce Municipio,True
00782,18.225,-66.2198,Comerio,PR,Comerio Municipio,True
00783,18.3046,-66.3305,Corozal,PR,Corozal Municipio,True
00784,18.018,-66.1333,Guayama,PR,Guayama Municipio,True
00785,17.98,-66.1101,Guayama,PR,,True
00786,18.1564,-66.2336,La Plata,PR,Aibonito Municipio,True
00791,18.138,-65.819,Humacao,PR,Humacao Municipio,True
00792,18.1519,-65.8279,Humacao,PR,,True
00794,18.2008,-66.307,Barranquitas,PR,Barranquitas Municipio,True
00795,18.0173,-66.4933,Juana Diaz,PR,Juana Diaz Municipio,True
00801,18.3436,-64.9314,St Thomas,VI,,True
00802,18.3436,-64.9322,St Thomas,VI,,True
00803,18.3436,-64.9314,St Thomas,VI,,True
00804,18.3436,-64.9314,St Thomas,VI,,True
00805,18.3436,-64.9314,St Thomas,VI,,True
00820,17.7454,-64.7034,Christiansted,VI,,True
00821,17.7488,-64.7039,Christiansted,VI,,True
00822,17.7488,-64.7039,Christiansted,VI,,True
00823,17.7488,-64.7039,Christiansted,VI,,True
00824,17.7488,-64.7039,Christiansted,VI,,True
00830,18.3282,-64.7407,St John,VI,,True
00831,18.3333,-64.7943,St John,VI,,True
00840,17.7124,-64.8822,Frederiksted,VI,,True
00841,17.7147,-64.8818,Frederiksted,VI,,True
00850,17.723,-64.783,Kingshill,VI,,True
00851,17.7253,-64.7836,Kingshill,VI,,True
00901,18.4654,-66.1044,San Juan,PR,San Juan Municipio,True
00902,18.4683,-66.1061,San Juan,PR,,True
00906,18.4646,-66.1008,San Juan,PR,San Juan Municipio,True
00907,18.4519,-66.085,San Juan,PR,San Juan Municipio,True
00908,18.4683,-66.1061,San Juan,PR,,True
00909,18.4411,-66.0661,San Juan,PR,San Juan Municipio,True
00910,18.45,-66.07,San Juan,PR,,True
00911,18.4514,-66.0579,San Juan,PR,San Juan Municipio,True
00912,18.4454,-66.0611,San Juan,PR,San Juan Municipio,True
00913,18.4504,-66.0444,San Juan,PR,San Juan Municipio,True
00914,18.4683,-66.1061,San Juan,PR,,True
00915,18.4372,-66.0446,San Juan,PR,San Juan Municipio,True
00916,18.4683,-66.1061,San Juan,PR,,True
00917,18.4212,-66.0494,San Juan,PR,San Juan Municipio,True
00918,18.4237,-66.0674,San Juan,PR,San Juan Municipio,True
00919,18.4683,-66.1061,San Juan,PR,,True
00920,18.4161,-66.0896,San Juan,PR,San Juan Municipio,True
00921,18.3905,-66.0884,San Juan,PR,San Juan Municipio,True
00922,18.4683,-66.1061,San Juan,PR,,True
00923,18.4114,-66.034,San Juan,PR,San Juan Municipio,True
00924,18.4006,-66.005,San Juan,PR,San Juan Municipio,True
00925,18.4033,-66.0478,San Juan,PR,San Juan Municipio,True
00926,18.3465,-66.0625,San Juan,PR,San Juan Municipio,True
00927,18.3876,-66.072,San Juan,PR,San Juan Municipio,True
00928,18.4683,-66.1061,San Juan,PR,,True
00929,18.4683,-66.1061,San Juan,PR,San Juan,True
00930,18.45,-66.06,San Juan,PR,,True
00931,18.4683,-66.1061,San Juan,PR,San Juan,True
00933,18.4683,-66.1061,San Juan,PR,San Juan,True
00934,18.413,-66.1198,Fort Buchanan,PR,Guaynabo Municipio,True
00935,18.4683,-66.1061,San Juan,PR,San Juan,True
00936,18.4683,-66.1061,San Juan,PR,San Juan Municipio,True
00937,18.4683,-66.1061,San Juan,PR,San Juan,True
00939,18.4683,-66.1061,San Juan,PR,San Juan,True
00940,18.4662,-66.1057,San Juan,PR,,True
00949,18.4327,-66.1991,Toa Baja,PR,Toa Baja Municipio,True
00950,18.4445,-66.255,Toa Baja,PR,Dorado Municipio,True
00951,18.4456,-66.26,Toa Baja,PR,Toa Baja Municipio,True
00952,18.4284,-66.1804,Sabana Seca,PR,Toa Baja Municipio,True
00953,18.3578,-66.2581,Toa Alta,PR,Toa Alta Municipio,True
00954,18.3905,-66.2487,Toa Alta,PR,Toa Alta,True
00955,18.4697,-66.1179,San Juan,PR,San Juan,True
00956,18.323,-66.173,Bayamon,PR,Bayamon Municipio,True
00957,18.3672,-66.1851,Bayamon,PR,Bayamon Municipio,True
00958,18.4008,-66.1589,Bayamon,PR,Bayamon,True
00959,18.3925,-66.1582,Bayamon,PR,Bayamon Municipio,True
00960,18.3931,-66.1548,Bayamon,PR,Bayamon Municipio,True
00961,18.4131,-66.1612,Bayamon,PR,Bayamon Municipio,True
00962,18.4418,-66.1402,Catano,PR,Catano Municipio,True
00963,18.1103,-66.17,Catano,PR,Catano,True
00965,18.43,-66.1199,Guaynabo,PR,Guaynabo Municipio,True
00966,18.3978,-66.1161,Guaynabo,PR,Guaynabo Municipio,True
00968,18.414,-66.1084,Guaynabo,PR,Guaynabo Municipio,True
00969,18.331,-66.1123,Guaynabo,PR,Guaynabo Municipio,True
00970,18.3592,-66.1103,Guaynabo,PR,,True
00971,18.3302,-66.1145,Guaynabo,PR,Guaynabo Municipio,True
00975,18.4683,-66.1064,San Juan,PR,San Juan,True
00976,18.337,-65.99,Trujillo Alto,PR,Trujillo Alto Municipio,True
00977,18.3569,-66.0076,Trujillo Alto,PR,,True
00978,18.3703,-66.0123,Saint Just,PR,San Juan,True
00979,18.4384,-66.0118,Carolina,PR,Carolina Municipio,True
00981,18.4683,-66.1064,Carolina,PR,Carolina,True
00982,18.4099,-65.9976,Carolina,PR,Carolina Municipio,True
00983,18.4156,-65.9777,Carolina,PR,Carolina Municipio,True
